State,County,County_State,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Latitude,Longitude,countyFIPS,g
TX,Real County,"Real County, TX",1810812868,2346259,699.159,0.906,29.830097,-99.812549,48385,48385
TX,Red River County,"Red River County, TX",2703626782,33305606,1043.876,12.859,33.619625,-95.048429,48387,48387
TX,Reeves County,"Reeves County, TX",6825534320,17396672,2635.354,6.717,31.308366,-103.712706,48389,48389
TX,Refugio County,"Refugio County, TX",1995545556,123688759,770.484,47.756,28.322116,-97.162472,48391,48391
TX,Roberts County,"Roberts County, TX",2393298442,346846,924.058,0.134,35.838596,-100.836682,46109,46109
TX,Robertson County,"Robertson County, TX",2214719307,26358041,855.108,10.177,31.025481,-96.514941,21201,21201
TX,Rockwall County,"Rockwall County, TX",329224077,56057833,127.114,21.644,32.898677,-96.404402,48397,48397
TX,Runnels County,"Runnels County, TX",2722259325,15604788,1051.07,6.025,31.845119,-99.982715,48399,48399
TX,Rusk County,"Rusk County, TX",2393244509,37217198,924.037,14.37,32.109423,-94.756382,48401,48401
TX,Sabine County,"Sabine County, TX",1273523414,219936062,491.71,84.918,31.3433,-93.851913,48403,48403
TX,San Augustine County,"San Augustine County, TX",1374395183,159644688,530.657,61.639,31.382449,-94.16318,48405,48405
TX,San Jacinto County,"San Jacinto County, TX",1474332268,151949233,569.243,58.668,30.574388,-95.163136,48407,48407
TX,San Patricio County,"San Patricio County, TX",1795990944,37577389,693.436,14.509,28.011794,-97.517157,48409,48409
TX,San Saba County,"San Saba County, TX",2940447162,8069095,1135.313,3.115,31.155138,-98.819292,48411,48411
TX,Schleicher County,"Schleicher County, TX",3394546067,87401,1310.642,0.034,30.896233,-100.527216,48413,48413
TX,Scurry County,"Scurry County, TX",2345090477,5436957,905.445,2.099,32.744353,-100.913346,48415,48415
TX,Shackelford County,"Shackelford County, TX",2367989254,3268209,914.286,1.262,32.74382,-99.347005,48417,48417
TX,Shelby County,"Shelby County, TX",2060566172,101081674,795.589,39.028,31.790139,-94.142579,1117,1117
TX,Sherman County,"Sherman County, TX",2390195608,425429,922.86,0.164,36.278593,-101.899265,20181,20181
TX,Smith County,"Smith County, TX",2386604273,73163661,921.473,28.249,32.377016,-95.270041,20183,20183
TX,Somervell County,"Somervell County, TX",482948955,14210911,186.468,5.487,32.218071,-97.769217,48425,48425
TX,Starr County,"Starr County, TX",3168019238,15346374,1223.179,5.925,26.530903,-98.740235,48427,48427
TX,Stephens County,"Stephens County, TX",2322497228,64147705,896.721,24.768,32.738052,-98.839344,13257,13257
TX,Sterling County,"Sterling County, TX",2391722770,167451,923.449,0.065,31.835773,-101.054911,48431,48431
TX,Stonewall County,"Stonewall County, TX",2373238700,10177387,916.313,3.93,33.17958,-100.253807,48433,48433
TX,Sutton County,"Sutton County, TX",3765674776,1277066,1453.935,0.493,30.522185,-100.513359,48435,48435
TX,Swisher County,"Swisher County, TX",2305502705,27277988,890.16,10.532,34.526319,-101.743865,48437,48437
