County Name,Non-Compliance,Compliance
Clayton County,21.7,78.3
Cobb County,20.4,79.7
Coweta County,34.099999999999994,65.9
DeKalb County,13.900000000000002,86.00000000000001
Douglas County,21.000000000000004,78.89999999999999
Fayette County,27.700000000000003,72.3
Fulton County,15.100000000000001,84.89999999999999
Gwinnett County,17.1,82.89999999999999
Henry County,24.200000000000003,75.9
